X;Y;ArrivalTime [s];FlameHeight [m];FireIntensity [kw/m]
875160,0;-4248870,0;3144,217;5,37901;10070,356
875190,0;-4248870,0;3131,5776;5,492582;10538,319
875220,0;-4248870,0;3121,0764;5,490561;10529,89
875250,0;-4248870,0;3118,6282;5,6025224;11002,2705
875280,0;-4248870,0;3128,345;5,87125;12181,895
875310,0;-4248870,0;3144,5942;6,155606;13501,05
875070,0;-4248840,0;3128,3582;4,786479;7813,712
875100,0;-4248840,0;3090,581;5,0284667;8698,038
875130,0;-4248840,0;3065,0784;5,238221;9506,148
875160,0;-4248840,0;3054,7034;5,343473;9926,284
875190,0;-4248840,0;3044,7148;5,319608;9830,163
875220,0;-4248840,0;3032,535;5,3489223;9948,304
875250,0;-4248840,0;3032,592;5,444722;10339,717
875280,0;-4248840,0;3049,9934;5,5771413;10894,201
875310,0;-4248840,0;3072,3838;5,9854813;12703,027
875340,0;-4248840,0;3117,5923;6,08315;13157,964
875010,0;-4248810,0;3121,439;4,629147;7266,122
875040,0;-4248810,0;3062,5002;4,6206403;7237,1265
875070,0;-4248810,0;3022,822;4,8204904;7934,9165
875100,0;-4248810,0;2999,1196;5,1146283;9025,298
875130,0;-4248810,0;2987,7195;5,21624;9419,643
875160,0;-4248810,0;2977,4407;5,1462574;9147,072
875190,0;-4248810,0;2965,6458;5,060689;8819,661
875220,0;-4248810,0;2952,153;5,1047025;8987,266
875250,0;-4248810,0;2954,3333;5,160769;9203,237
875280,0;-4248810,0;2978,2805;5,2928534;9723,001
875310,0;-4248810,0;3012,2302;5,8047748;11884,051
875340,0;-4248810,0;3049,4194;6,0196176;12861,051
875370,0;-4248810,0;3122,9824;5,2260575;9458,226
874800,0;-4248780,0;3074,614;4,308257;6215,527
874830,0;-4248780,0;3079,9211;5,35788;9984,558
874860,0;-4248780,0;3120,343;5,4216113;10244,547
874890,0;-4248780,0;3141,47;5,4163113;10222,787
874920,0;-4248780,0;3141,5405;5,158167;9193,152
874950,0;-4248780,0;3116,26;4,8052764;7880,5737
874980,0;-4248780,0;3060,0498;4,723391;7591,5557
875010,0;-4248780,0;3014,8574;4,7375245;7641,025
875040,0;-4248780,0;2972,19;4,849016;8037,349
875070,0;-4248780,0;2938,176;5,161111;9204,562
875100,0;-4248780,0;2918,8433;5,314471;9809,534
875130,0;-4248780,0;2907,2053;5,1968727;9343,777
875160,0;-4248780,0;2893,0269;5,1488075;9156,929
875190,0;-4248780,0;2875,7737;5,16162;9206,535
875220,0;-4248780,0;2863,442;5,1523304;9170,555
875250,0;-4248780,0;2867,093;5,2555366;9574,594
875280,0;-4248780,0;2894,5369;5,3427815;9923,493
