flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
020,Start,47.1575964,11.3126491,1.1457072496414185,32.9,1.0
020,Waypoint,47.1575972,11.31265,29.82818031311035,45.992,0.9899999499320984
020,Waypoint,47.1568873,11.315088,31.322568893432617,65.192,0.9699999690055847
020,Waypoint,47.1563852,11.3303681,31.35721778869629,163.292,0.85999995470047
020,Waypoint,47.1569278,11.3297284,31.399133682250977,173.592,0.8499999642372131
020,Waypoint,47.1502744,11.3192221,31.096866607666016,268.292,0.7400000095367432
020,Waypoint,47.1480738,11.3203972,30.779462814331055,292.696,0.7099999785423279
020,Waypoint,47.1481257,11.3099474,31.170108795166016,362.792,0.6299999952316284
020,Waypoint,47.1452717,11.3076669,31.083354949951172,395.692,0.5999999642372131
020,Waypoint,47.154769,11.3032783,31.496007919311523,492.392,0.4899999797344208
020,Waypoint,47.1539077,11.3036908,31.47187614440918,505.092,0.47999998927116394
020,Waypoint,47.157589,11.3126308,31.792438507080078,574.292,0.3999999761581421
020,Landing,47.1576535,11.3127758,1.4467219114303589,601.904,0.3700000047683716

