tweet_text	event
URGENT: #Wildfire Update - The Creek Fire is now Level 3 (Evacuate). Residents in zones A, B, and C MUST leave immediately. Details: [link to evacuation map]	fire
RED FLAG WARNING remains in effect until 11 PM PDT for gusty winds & low humidity. Any spark can become a major wildfire. #CaliforniaFires #FireSafety	fire
Highway 17 closed in both directions between Lexington Reservoir Blvd and Summit Rd due to fire activity. Check @CaltransHQ for updates. #CreekFire #RoadClosure	fire
Air Quality Alert: Unhealthy air quality levels across the Bay Area due to wildfire smoke. Limit outdoor activity, especially for sensitive groups. #WildfireSmoke #AirQuality	fire
The Smith River Complex fire is 0% contained. Hot, dry conditions persist. Firefighters are working to establish containment lines. #SmithRiverComplex #Wildfire	fire
Evacuation Center Update: The Santa Clara County Fairgrounds is at capacity. Additional shelter locations: [link to shelter list]. #CreekFire #Evacuation	fire
Do not fly drones near the wildfire. They can interfere with firefighting aircraft operations. It is illegal and dangerous. #WildfireSafety	fire
Current wind speeds in the fire area are 30-40 mph with gusts up to 60 mph. These conditions are exacerbating fire spread. #WildfireUpdate	fire
Precipitation forecast: 0% chance of rain in the next 7 days. Critical fire weather conditions are expected to continue. #CaliforniaDrought #Wildfires	fire
Avoid travel to Plumas County if possible. Numerous road closures in place due to the Dixie Fire. Check @CaltransDist2 for updates. #DixieFire #RoadClosures	fire
Level 2 (Be Prepared) evacuation order issued for Zone D of the Creek Fire. Gather your belongings and be ready to leave. #Wildfire #Evacuation	fire
Fire damage assessment underway in Butte County. Preliminary reports indicate significant structural losses. #BearFire #DamageAssessment	fire
Relief supplies (water, food, blankets) are being distributed at the Chico Community Center. Open 8 AM - 8 PM. #BearFire #ReliefEfforts	fire
Wildfire smoke impacting visibility. Use headlights while driving and reduce your speed. #FireSafety #DriveSafe	fire
The lightning complex fires in Northern California are now over 200,000 acres. Resources stretched thin. #LightningComplex #Wildfire	fire
Stay informed! Sign up for emergency alerts in your county: [link to alert signup]. #WildfirePreparedness #EmergencyAlerts	fire
Red Cross is providing assistance to families impacted by the wildfires. Donate here: [link to Red Cross donation page]. #WildfireRelief #RedCross	fire
The Mendocino Complex Fire is exhibiting extreme behavior, driven by strong winds. #MendocinoComplex #Wildfire	fire
Highway 299 closed between Weaverville and Burney due to fire activity. Expect significant delays. @CaltransHQ #Wildfire	fire
Report any suspicious activity that could start a wildfire to local authorities. #FirePrevention #WildfireSafety	fire
HEAT ADVISORY in effect for areas near the wildfires. Stay hydrated and avoid strenuous activity. #HeatWave #Wildfire	fire
The average humidity in the fire zone is currently 8%. This is contributing to rapid fire spread. #WildfireUpdate	fire
Evacuation orders lifted for Zone E of the Smith River Complex. However, remain vigilant. #SmithRiverComplex #Evacuation	fire
California Governor Newsom declares a state of emergency due to ongoing wildfires. #CaliforniaFires #StateOfEmergency	fire
Power outages reported in several counties due to wildfire damage. Check with your utility provider for updates. #PowerOutage #Wildfire	fire
Firefighters are battling the Lava Fire near Mount Shasta. Containment remains low. #LavaFire #Wildfire	fire
Avoid using outdoor equipment that could create sparks. This includes lawnmowers and chainsaws. #FirePrevention	fire
The Dixie Fire has burned over 150,000 acres and is threatening several communities. #DixieFire #Wildfire	fire
Be prepared for potential road closures due to firefighting operations. Check @Caltrans before traveling. #RoadClosures #Wildfire	fire
Air Quality Index (AQI) is over 200 in many areas of Northern California. Consider staying indoors. #AirQuality #WildfireSmoke	fire
URGENT: Mandatory evacuation order for all residents within a 5-mile radius of the fire perimeter. #Wildfire #EvacuateNow	fire
UPDATE: The Creek Fire is now estimated at 10,000 acres and growing rapidly. #CreekFire #WildfireUpdate	fire
Remember to bring pets and essential medications when evacuating. #WildfirePreparedness #Evacuation	fire
Critical fire weather conditions are expected to persist through the weekend. #RedFlagWarning #Wildfires	fire
The National Weather Service has issued an Excessive Heat Warning for areas surrounding the wildfires. #HeatWave #Wildfire	fire
Resources from across the state are being deployed to battle the wildfires. #WildfireResponse #CaliforniaFires	fire
Check on elderly neighbors and those with disabilities to ensure they have a plan for evacuation. #CommunitySupport #Wildfire	fire
The Golden Fire is currently 0% contained and continues to spread. #GoldenFire #Wildfire	fire
Highway 395 closed near Mammoth Lakes due to smoke and fire activity. #RoadClosure #Wildfire	fire
