date,reduction,datetime,time
2020-03-16,0.5053579375294793,2020-03-16,36
2020-03-17,0.5277371481621038,2020-03-17,37
2020-03-18,0.5326431034118155,2020-03-18,38
2020-03-19,0.5731848218858613,2020-03-19,39
2020-03-20,0.5520409978739357,2020-03-20,40
2020-03-21,0.6274930589605445,2020-03-21,41
2020-03-22,0.6658128286379966,2020-03-22,42
2020-03-23,0.5557714915350566,2020-03-23,43
2020-03-24,0.5648114677608574,2020-03-24,44
2020-03-25,0.5641671208421836,2020-03-25,45
2020-03-26,0.5642040434571989,2020-03-26,46
2020-03-27,0.5630888654821481,2020-03-27,47
2020-03-28,0.6282579958570025,2020-03-28,48
2020-03-29,0.6650261157561848,2020-03-29,49
2020-03-30,0.5886635825778164,2020-03-30,50
2020-03-31,0.5950118771370437,2020-03-31,51
2020-04-01,0.588922124392689,2020-04-01,52
2020-04-02,0.5878433826188629,2020-04-02,53
2020-04-03,0.5790945597593601,2020-04-03,54
2020-04-04,0.628420345550097,2020-04-04,55
2020-04-05,0.6680423935425593,2020-04-05,56
2020-04-06,0.5813570601305904,2020-04-06,57
2020-04-07,0.577504792684301,2020-04-07,58
2020-04-08,0.5719618289473396,2020-04-08,59
2020-04-09,0.6267162400967897,2020-04-09,60
2020-04-10,0.6569746551488586,2020-04-10,61
2020-04-11,0.6168366523264448,2020-04-11,62
2020-04-12,0.6632511832903216,2020-04-12,63
2020-04-13,0.5938525021587691,2020-04-13,64
2020-04-14,0.5469870439411463,2020-04-14,65
2020-04-15,0.5509102482035226,2020-04-15,66
2020-04-16,0.5478017211166836,2020-04-16,67
2020-04-17,0.544403325547293,2020-04-17,68
2020-04-18,0.6100684655658242,2020-04-18,69
2020-04-19,0.6553999738045141,2020-04-19,70
2020-04-20,0.547403255825891,2020-04-20,71
2020-04-21,0.544128268777907,2020-04-21,72
2020-04-22,0.538264477406769,2020-04-22,73
2020-04-23,0.5454048679879915,2020-04-23,74
2020-04-24,0.5360312573934665,2020-04-24,75
2020-04-25,0.6050595222851777,2020-04-25,76
2020-04-26,0.6440929207060736,2020-04-26,77
2020-04-27,0.5311351448768578,2020-04-27,78
2020-04-28,0.5279967951464563,2020-04-28,79
2020-04-29,0.5219714748457032,2020-04-29,80
2020-04-30,0.5186516859450849,2020-04-30,81
2020-05-01,0.6231776672346971,2020-05-01,82
2020-05-02,0.5534850730472598,2020-05-02,83
2020-05-03,0.5891738235226199,2020-05-03,84
2020-05-04,0.4781645666223136,2020-05-04,85
2020-05-05,0.47567017791643407,2020-05-05,86
2020-05-06,0.4789022061328195,2020-05-06,87
2020-05-07,0.4789044166561069,2020-05-07,88
2020-05-08,0.47712667480839815,2020-05-08,89
2020-05-09,0.5476800818594437,2020-05-09,90
2020-05-10,0.6058820116124787,2020-05-10,91
2020-05-11,0.4453507016704934,2020-05-11,92
2020-05-12,0.45622287436007314,2020-05-12,93
2020-05-13,0.4498832166618849,2020-05-13,94
2020-05-14,0.46260277244854375,2020-05-14,95
2020-05-15,0.45435352650882244,2020-05-15,96
2020-05-16,0.5031188781072227,2020-05-16,97
2020-05-17,0.5384832584559529,2020-05-17,98
2020-05-18,0.4145305791809679,2020-05-18,99
2020-05-19,0.4123596484279519,2020-05-19,100
2020-05-20,0.4087233880580472,2020-05-20,101
2020-05-21,0.4082894645376116,2020-05-21,102
2020-05-22,0.3981403855892959,2020-05-22,103
2020-05-23,0.4505689672482993,2020-05-23,104
2020-05-24,0.49649657465105457,2020-05-24,105
2020-05-25,0.38530303191707704,2020-05-25,106
2020-05-26,0.38188283088207725,2020-05-26,107
2020-05-27,0.37621749640579194,2020-05-27,108
2020-05-28,0.37184855709731307,2020-05-28,109
2020-05-29,0.35937624616017694,2020-05-29,110
2020-05-30,0.396105628962376,2020-05-30,111
2020-05-31,0.4556854168560058,2020-05-31,112
2020-06-01,0.3772199241075902,2020-06-01,113
2020-06-02,0.3660863626216507,2020-06-02,114
2020-06-03,0.3640532217469875,2020-06-03,115
2020-06-04,0.3676259613069654,2020-06-04,116
2020-06-05,0.34163859227743715,2020-06-05,117
2020-06-06,0.3810180887572434,2020-06-06,118
2020-06-07,0.4523339982138484,2020-06-07,119
2020-06-08,0.3609424477504818,2020-06-08,120
2020-06-09,0.3538457010218975,2020-06-09,121
2020-06-10,0.3414234029076013,2020-06-10,122
2020-06-11,0.35325961485709795,2020-06-11,123
2020-06-12,0.33471689301501917,2020-06-12,124
2020-06-13,0.3670993117048416,2020-06-13,125
2020-06-14,0.41737597362470125,2020-06-14,126
2020-06-15,0.34251983381830564,2020-06-15,127
2020-06-16,0.3447885397097279,2020-06-16,128
2020-06-17,0.3361955756092892,2020-06-17,129
2020-06-18,0.33356747502505507,2020-06-18,130
2020-06-19,0.3171236015112738,2020-06-19,131
2020-06-20,0.35322346082038275,2020-06-20,132
2020-06-21,0.39390355110940833,2020-06-21,133
2020-06-22,0.3259545848112783,2020-06-22,134
2020-06-23,0.3129359307055955,2020-06-23,135
2020-06-24,0.34110586231623885,2020-06-24,136
2020-06-25,0.31627527615816914,2020-06-25,137
2020-06-26,0.3047895987521529,2020-06-26,138
2020-06-27,0.347634082353763,2020-06-27,139
2020-06-28,0.38897509810774233,2020-06-28,140
2020-06-29,0.32150374389303854,2020-06-29,141
2020-06-30,0.3155461162051252,2020-06-30,142
2020-07-01,0.31067215332448334,2020-07-01,143
2020-07-02,0.31005463164283725,2020-07-02,144
2020-07-03,0.3010741490886818,2020-07-03,145
2020-07-04,0.34306673016996786,2020-07-04,146
2020-07-05,0.3810661922009424,2020-07-05,147
2020-07-06,0.31914975684259955,2020-07-06,148
2020-07-07,0.31645624655475424,2020-07-07,149
2020-07-08,0.3169727858223806,2020-07-08,150
2020-07-09,0.30998803900743904,2020-07-09,151
2020-07-10,0.3024630288364661,2020-07-10,152
2020-07-11,0.34490762579220446,2020-07-11,153
2020-07-12,0.38689694147734244,2020-07-12,154
2020-07-13,0.3179934916569929,2020-07-13,155
2020-07-14,0.3166753308217878,2020-07-14,156
2020-07-15,0.3186137963594216,2020-07-15,157
2020-07-16,0.3126713714613757,2020-07-16,158
2020-07-17,0.3091569051924419,2020-07-17,159
2020-07-18,0.34995756086924074,2020-07-18,160
2020-07-19,0.3874405477048504,2020-07-19,161
2020-07-20,0.32318851039698665,2020-07-20,162
2020-07-21,0.3226837914766659,2020-07-21,163
2020-07-22,0.3173256736433042,2020-07-22,164
2020-07-23,0.313957738829133,2020-07-23,165
2020-07-24,0.30804552561155246,2020-07-24,166
2020-07-25,0.355214045737547,2020-07-25,167
2020-07-26,0.39101543810774786,2020-07-26,168
2020-07-27,0.3244739753465741,2020-07-27,169
2020-07-28,0.326358999788817,2020-07-28,170
2020-07-29,0.31497749418317733,2020-07-29,171
2020-07-30,0.3164596736747128,2020-07-30,172
2020-07-31,0.3127080337122448,2020-07-31,173
2020-08-01,0.3537143474582608,2020-08-01,174
2020-08-02,0.3987254405716862,2020-08-02,175
2020-08-03,0.3342796749816541,2020-08-03,176
2020-08-04,0.33463724752591983,2020-08-04,177
2020-08-05,0.33045668925577715,2020-08-05,178
2020-08-06,0.3281558290079144,2020-08-06,179
2020-08-07,0.3241980971826667,2020-08-07,180
2020-08-08,0.3613405685338439,2020-08-08,181
2020-08-09,0.40251304244530806,2020-08-09,182
2020-08-10,0.3430878135780678,2020-08-10,183
2020-08-11,0.34677773155885644,2020-08-11,184
2020-08-12,0.34201532263394374,2020-08-12,185
2020-08-13,0.33744197174872564,2020-08-13,186
2020-08-14,0.3332604812490999,2020-08-14,187
2020-08-15,0.3866860784947184,2020-08-15,188
2020-08-16,0.4090495640638732,2020-08-16,189
2020-08-17,0.3494218326611252,2020-08-17,190
2020-08-18,0.35031938690108727,2020-08-18,191
2020-08-19,0.34668814023144884,2020-08-19,192
2020-08-20,0.3434300080292504,2020-08-20,193
2020-08-21,0.33998592186877563,2020-08-21,194
2020-08-22,0.3734311160931423,2020-08-22,195
2020-08-23,0.4096178377287831,2020-08-23,196
2020-08-24,0.34558578658127675,2020-08-24,197
2020-08-25,0.3434074528986175,2020-08-25,198
2020-08-26,0.34387907454329386,2020-08-26,199
2020-08-27,0.3414242607151005,2020-08-27,200
2020-08-28,0.3358934579079132,2020-08-28,201
