"level_1","level_2","level_3"
"38033_AM","38","05"
"3803810","38","05"
"38020_AM","38","05"
"38049_AM","38","05"
"38015_AM","38","05"
"3800601","38","05"
"38035_AM","38","05"
"38011","38","05"
"38017","38","05"
"38019","38","05"
"38018","38","05"
"38010","38","05"
"38009","38","05"
"38008","38","05"
"38005","38","05"
"38001","38","05"
"38013_AM","38","05"
"38036_AM","38","05"
"38037","38","05"
"38032","38","05"
"38031","38","05"
"38034","38","05"
"38039","38","05"
"38042","38","05"
"38041","38","05"
"38045_AM","38","05"
"3803807_AD","38","05"
"3803802","38","05"
"3803803","38","05"
"3803809","38","05"
"3803804","38","05"
"3803801","38","05"
"3803805","38","05"
"3803806","38","05"
"38025","38","05"
"38028","38","05"
"38027","38","05"
"38022","38","05"
"38024","38","05"
"3803811","38","05"
"3803812","38","05"
"3802303","38","05"
"38051","38","05"
"38043","38","05"
"38046","38","05"
"38048","38","05"
"38040","38","05"
"3802304","38","05"
"3802305","38","05"
"3802306","38","05"
"3802301","38","05"
"3802302","38","05"
"38029_AM","38","05"
"38053_AM","38","05"
"38004","38","05"
"38026","38","05"
"2305004","23","01"
"2305002","23","01"
"2305006","23","01"
"2305003","23","01"
"2305005","23","01"
"2305009","23","01"
"2305001","23","01"
"23026_AM","23","01"
"2305501_AD","23","01"
"23058","23","01"
"23053","23","01"
"23079_AM","23","01"
"23088_AM","23","01"
"23010","23","01"
"23059_AM","23","01"
"23096_AM","23","01"
"23904_AM","23","01"
"23025_AM","23","01"
"23014_AM","23","01"
"2305007_AD","23","01"
"23006_AM","23","01"
"23044_AM","23","01"
"2305507","23","01"
"23018_AM","23","01"
"23082_AM","23","01"
"23066","23","01"
"23063_AM","23","01"
"23073_AM","23","01"
"23069_AM","23","01"
"2305506","23","01"
"2305504","23","01"
"2305505","23","01"
"23094_AM","23","01"
"23012_AM","23","01"
"23005","23","01"
"23003","23","01"
"23002","23","01"
"23009","23","01"
"23093_AM","23","01"
"23038","23","01"
"23024","23","01"
"23028","23","01"
"23061_AM","23","01"
"23039_AM","23","01"
"2305502_AD","23","01"
"23903_AM","23","01"
"23060_AM","23","01"
"23086_AM","23","01"
"23095","23","01"
"23099","23","01"
"23092","23","01"
"23067_AM","23","01"
"23087","23","01"
"23902_AM","23","01"
"23070_AM","23","01"
"23074_AM","23","01"
"23905_AM","23","01"
"23097_AM","23","01"
"10146_AM","10","11"
"10020_AM","10","11"
"10148","10","11"
"10087_AM","10","11"
"10205_AM","10","11"
"10109_AM","10","11"
"10216_AM","10","11"
"10021","10","11"
"10203","10","11"
"10110_AM","10","11"
"10035_AM","10","11"
"10061_AM","10","11"
"10049_AM","10","11"
"10184_AM","10","11"
"10006_AM","10","11"
"10186_AM","10","11"
"10121","10","11"
"1003704","10","11"
"1003705","10","11"
"1003702","10","11"
"10140_AM","10","11"
"10147_AM","10","11"
"10096_AM","10","11"
"10010_AM","10","11"
"10064_AM","10","11"
"10113_AM","10","11"
"10195_AM","10","11"
"10177_AM","10","11"
"10105_AM","10","11"
"10104","10","11"
"10089_AM","10","11"
"1003706_AD","10","11"
"10067","10","11"
"10018_AM","10","11"
"10115","10","11"
"10019_AM","10","11"
"10116_AM","10","11"
"10180_AM","10","11"
"10128","10","11"
"1003701","10","11"
"10127","10","11"
"1003703","10","11"
"10175_AM","10","11"
"10212_AM","10","11"
"10050_AM","10","11"
"10131","10","11"
"10189_AM","10","11"
"1913001","19","08"
"19156_AM","19","08"
"19160_AM","19","08"
"19190_AM","19","08"
"19171","19","08"
"1913004","19","08"
"1913002","19","08"
"1913005","19","08"
"1913003","19","08"
"19053_AM","19","08"
"19086_AM","19","08"
"19071_AM","19","08"
"19024","19","08"
"19319","19","08"
"19245_AM","19","08"
"19058_AM","19","08"
"19220_AM","19","08"
"19326_AM","19","08"
"19151_AM","19","08"
"19274_AM","19","08"
"19192_AM","19","08"
"19257_AM","19","08"
"19331_AM","19","08"
"19046_AM","19","08"
"19280_AM","19","08"
"22117_AM","22","02"
"22213_AM","22","02"
"22254_AM","22","02"
"22137_AM","22","02"
"22204_AM","22","02"
"22060_AM","22","02"
"22225_AM","22","02"
"22048","22","02"
"22021_AM","22","02"
"22199","22","02"
"22039_AM","22","02"
"2212507","22","02"
"2212506","22","02"
"2212502","22","02"
"2212505","22","02"
"2212501","22","02"
"2212504","22","02"
"22084_AM","22","02"
"2212503","22","02"
"22053_AM","22","02"
"22158","22","02"
"22901_AM","22","02"
"22228_AM","22","02"
"22130","22","02"
"22116_AM","22","02"
"22054_AM","22","02"
"22907_AM","22","02"
"22061","22","02"
"22112_AM","22","02"
"2212508","22","02"
"22017_AM","22","02"
"06094_AM","06","11"
"06109_AM","06","11"
"06025","06","11"
"06036_AM","06","11"
"06154_AM","06","11"
"06162_AM","06","11"
"06019_AM","06","11"
"06103","06","11"
"0601507","06","11"
"0601501","06","11"
"06060_AM","06","11"
"06095_AM","06","11"
"06117_AM","06","11"
"06006","06","11"
"06002","06","11"
"06108_AM","06","11"
"06028_AM","06","11"
"06128_AM","06","11"
"06121_AM","06","11"
"06012_AM","06","11"
"06070_AM","06","11"
"06122","06","11"
"06011","06","11"
"06153","06","11"
"06158","06","11"
"06066_AM","06","11"
"06127_AM","06","11"
"06120_AM","06","11"
"0601503","06","11"
"0601505","06","11"
"0601508","06","11"
"0601509","06","11"
"0601502","06","11"
"06149","06","11"
"0601506","06","11"
"0601504","06","11"
"06113_AM","06","11"
"06093_AM","06","11"
"06088_AM","06","11"
"0601510","06","11"
"06072_AM","06","11"
"06016_AM","06","11"
"06155_AM","06","11"
"06022_AM","06","11"
"06005_AM","06","11"
"06125_AM","06","11"
"0608302_AD","06","11"
"06044_AM","06","11"
"06091_AM","06","11"
"06063_AM","06","11"
"06055_AM","06","11"
"06074_AM","06","11"
"06014_AM","06","11"
"06023_AM","06","11"
"06069_AM","06","11"
"06052_AM","06","11"
"0608303","06","11"
"0608301","06","11"
"0608304","06","11"
"0608306","06","11"
"06123_AM","06","11"
"06054","06","11"
"06085_AM","06","11"
"06050_AM","06","11"
"2801302","28","13"
"2801301","28","13"
"2801303","28","13"
"2801304","28","13"
"28151_AM","28","13"
"28180","28","13"
"28032_AM","28","13"
"2811301","28","13"
"2811302","28","13"
"28181","28","13"
"2805806","28","13"
"2805802","28","13"
"2805805","28","13"
"2805809","28","13"
"2805808","28","13"
"2805803","28","13"
"2805801","28","13"
"2805807","28","13"
"28162_AM","28","13"
"2805804","28","13"
"28060_AM","28","13"
"2807407","28","13"
"2807402","28","13"
"2807406","28","13"
"2807404","28","13"
"2807401","28","13"
"2807405","28","13"
"2812301","28","13"
"28901_AM","28","13"
"28133_AM","28","13"
"28164","28","13"
"28091","28","13"
"28086","28","13"
"2800501","28","13"
"28084","28","13"
"28083","28","13"
"28089","28","13"
"28087","28","13"
"2800502","28","13"
"2800505","28","13"
"2800503","28","13"
"2800504","28","13"
"28082","28","13"
"28903","28","13"
"28096","28","13"
"28090","28","13"
"28045","28","13"
"28047","28","13"
"2816102","28","13"
"28110_AM","28","13"
"2816101","28","13"
"28068","28","13"
"28061","28","13"
"2800703","28","13"
"2800701","28","13"
"2800704","28","13"
"2807920","28","13"
"28073","28","13"
"2807921","28","13"
"28075","28","13"
"28072","28","13"
"28104","28","13"
"28100","28","13"
"28108","28","13"
"28066","28","13"
"2800601","28","13"
"2810601","28","13"
"2804903_AD","28","13"
"28052_AM","28","13"
"28044","28","13"
"28040","28","13"
"28043","28","13"
"28046","28","13"
"28041","28","13"
"28131","28","13"
"28018","28","13"
"28130","28","13"
"28132","28","13"
"28119_AM","28","13"
"2812701","28","13"
"28099_AM","28","13"
"28125_AM","28","13"
"2804902","28","13"
"2807909","28","13"
"28054","28","13"
"2807901","28","13"
"2807903","28","13"
"2807902","28","13"
"2806503","28","13"
"2806501","28","13"
"2806502","28","13"
"2807905","28","13"
"28059","28","13"
"2807907","28","13"
"2806504","28","13"
"28140_AM","28","13"
"28129","28","13"
"2814804","28","13"
"2814803","28","13"
"2807403","28","13"
"28145_AM","28","13"
"28031_AM","28","13"
"2800702","28","13"
"28023","28","13"
"2807911","28","13"
"2807917","28","13"
"2807918","28","13"
"2807919","28","13"
"28165_AM","28","13"
"2807913","28","13"
"28038_AM","28","13"
"2807914","28","13"
"2807915","28","13"
"2807910","28","13"
"28026","28","13"
"2807916","28","13"
"28022","28","13"
"2807912","28","13"
"28150","28","13"
"2809203","28","13"
"2804901","28","13"
"28152","28","13"
"2809202","28","13"
"28154","28","13"
"2809204","28","13"
"28067_AM","28","13"
"28141","28","13"
"2808002","28","13"
"2808001","28","13"
"28137_AM","28","13"
"28033","28","13"
"28053","28","13"
"2813401","28","13"
"28144","28","13"
"28149","28","13"
"2807906","28","13"
"2807904","28","13"
"28008_AM","28","13"
"2807908","28","13"
"28050_AM","28","13"
"28002","28","13"
"28009","28","13"
"28004","28","13"
"28027_AM","28","13"
"28177","28","13"
"28172","28","13"
"28171","28","13"
"28030_AM","28","13"
"28176","28","13"
"28010","28","13"
"28015","28","13"
"28014","28","13"
"28160","28","13"
"28167","28","13"
"2811502","28","13"
"2811501","28","13"
"28095_AM","28","13"
"2814802","28","13"
"2814801","28","13"
"28085_AM","28","13"
"2809201","28","13"
"32007_AM","32","12"
"32019","32","12"
"32063_AM","32","12"
"32004_AM","32","12"
"32075_AM","32","12"
"32069","32","12"
"32072_AM","32","12"
"32017_AM","32","12"
"3205402","32","12"
"3205401","32","12"
"3205403","32","12"
"3205405","32","12"
"3205404","32","12"
"32045_AM","32","12"
"32026_AM","32","12"
"32009","32","12"
"32043_AM","32","12"
"32067_AM","32","12"
"32056_AM","32","12"
"32085","32","12"
"32024","32","12"
"32051_AM","32","12"
"32042_AM","32","12"
"32086_AM","32","12"
